title,artist,price,installments,installment_price,category_id,label,country,condition_cover,condition_media,stock,image_url,is_featured,is_on_sale,discount_percentage,description
Albert Louis Hammond,Albert Louis Hammond,20000,3,8667,2,Epic – 47.113,Argentina ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Está Nevando En Buenos Aires,"Alberto Favero, Favero y la Banda",20000,3,8667,6,WEA – 88090,Argentina ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Algo Que Decir,Alejandro Lerner,10000,3,4333,6,Jerónimo Records – JR 1011,Argentina ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Canciones,Alejandro Lerner,10000,3,4333,6,Ariola – TLP 80050,Argentina ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Todo A Pulmón,Alejandro Lerner,10000,3,4333,6,Raviol Records – RR 5007,Argentina ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
All For A Reason,Alessi,20000,3,8667,1,A&M Records – SP-4657,USA ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Driftin',Alessi,25000,3,10833,1,A&M Records – SP-4713,USA ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Words And Music,Alessi,25000,3,10833,1,A&M Records – SP-4776,USA ,9pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Hoodoo,Alison Moyet,20000,3,8667,3,Columbia – 70.167,Argentina ,8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
Afternoons In Utopia,Alphaville,30000,3,13,1,WEA – 89132,Argentina ,8.5pts (excelente estado) + Insert 8.5pts (excelente estado),8.5pts (excelente estado),1,,TRUE,TRUE,1,
